TEAM_CITY,TEAM_NAME,PTS,Delta
Golden State,Warriors,114.9,12.239999999999995
Oklahoma City,Thunder,110.2,7.539999999999992
Sacramento,Kings,106.7,4.039999999999992
Houston,Rockets,106.5,3.839999999999989
Boston,Celtics,105.6,2.9399999999999835
Portland,Trail Blazers,105.1,2.4399999999999835
Los Angeles,Clippers,104.5,1.8399999999999892
Cleveland,Cavaliers,104.3,1.6399999999999864
Washington,Wizards,104.1,1.4399999999999835
San Antonio,Spurs,103.5,0.8399999999999892
Charlotte,Hornets,103.4,0.7399999999999949
Atlanta,Hawks,102.8,0.13999999999998636
New Orleans,Pelicans,102.7,0.03999999999999204
Toronto,Raptors,102.7,0.03999999999999204
Minnesota,Timberwolves,102.4,-0.2600000000000051
Dallas,Mavericks,102.3,-0.36000000000001364
Indiana,Pacers,102.2,-0.46000000000000796
Detroit,Pistons,102.0,-0.6600000000000108
Orlando,Magic,102.0,-0.6600000000000108
Denver,Nuggets,101.9,-0.7600000000000051
Chicago,Bulls,101.6,-1.0600000000000165
Phoenix,Suns,100.9,-1.7600000000000051
Miami,Heat,100.0,-2.660000000000011
Memphis,Grizzlies,99.1,-3.5600000000000165
Milwaukee,Bucks,99.0,-3.660000000000011
Brooklyn,Nets,98.6,-4.0600000000000165
New York,Knicks,98.4,-4.260000000000005
Utah,Jazz,97.7,-4.960000000000008
Philadelphia,76ers,97.4,-5.260000000000005
Los Angeles,Lakers,97.3,-5.360000000000014
