title,audience_certified,audience_score,audience_sentiment,critics_certified,critics_score,critics_sentiment
HIM,false,58%,negative,false,31%,negative
The Conjuring: Last Rites,false,78%,positive,false,59%,negative
Downton Abbey: The Grand Finale,true,96%,positive,true,92%,positive
The Long Walk,false,85%,positive,true,88%,positive
A Big Bold Beautiful Journey,false,59%,negative,false,37%,negative
Toy Story,false,92%,positive,true,100%,positive
Weapons,true,85%,positive,true,94%,positive
Freakier Friday,true,92%,positive,true,74%,positive
The Bad Guys 2,true,94%,positive,true,88%,positive
Hamilton,true,99%,positive,true,98%,positive
Apollo 13,false,87%,positive,true,94%,positive
The Fantastic Four: First Steps,true,91%,positive,true,87%,positive
Caught Stealing,false,83%,positive,true,84%,positive
The History of Sound,false,89%,positive,false,69%,positive
The Roses,false,79%,positive,false,65%,positive
Jurassic World Rebirth,false,71%,positive,false,50%,negative
Superman,true,90%,positive,true,83%,positive
The Baltimorons,false,83%,positive,true,92%,positive
F1 The Movie,true,97%,positive,true,82%,positive
Twinless,false,95%,positive,true,97%,positive
Lilo & Stitch,true,92%,positive,false,72%,positive
Splitsville,false,85%,positive,true,85%,positive
Riefenstahl,,,,true,97%,positive
Yi Yi,false,91%,positive,true,97%,positive
Plainclothes,,,,true,86%,positive
The Summer Book,,,,false,81%,positive
A Little Prayer,false,93%,positive,true,93%,positive
In the Mood for Love,false,94%,positive,true,92%,positive
Four Nights of a Dreamer,false,78%,positive,false,91%,positive
Lurker,false,84%,positive,true,95%,positive
"It's Never Over, Jeff Buckley",false,98%,positive,true,98%,positive
Night of the Juggler,,,,false,93%,positive
Naked Ambition,,,,false,,
Monk in Pieces,,,,false,91%,positive
Dogtooth,false,76%,positive,true,93%,positive
Familiar Touch,,,,true,98%,positive
My Sunshine,,,,false,87%,positive
Folktales,,,,true,83%,positive
Killer of Sheep,false,84%,positive,true,98%,positive
Kill the Jockey,,,,true,87%,positive
A Savage Art: The Life & Cartoons of Pat Oliphant,,,,false,,
In the Fire of War,,,,false,,
Rabbit Trap,,,,false,42%,negative
Seeds,,,,false,100%,positive
A Photographic Memory,,,,false,100%,positive
Pariah,false,50%,negative,false,43%,negative
Suspended Time,,,,false,67%,positive
Marlee Matlin: Not Alone Anymore,,,,true,98%,positive
One Battle After Another,true,85%,positive,true,96%,positive
The Strangers: Chapter 2,false,58%,negative,false,18%,negative
The Smashing Machine,,,,true,75%,positive
Dead of Winter,false,81%,positive,false,77%,positive
Gabby's Dollhouse: The Movie,true,95%,positive,false,80%,positive
Eleanor the Great,false,95%,positive,false,66%,positive
Anemone,,,,false,61%,positive
Bone Lake,,,,false,93%,positive
Good Boy,,,,false,92%,positive
Spider-Man,false,67%,positive,true,90%,positive
All the Devils Are Here,,,,false,73%,positive
Spider-Man 2,false,82%,positive,true,93%,positive
Homebound,,,,false,100%,positive
They Call Him OG,false,87%,positive,false,,
Avatar: The Way of Water,true,92%,positive,true,76%,positive
Bau: Artist at War,false,92%,positive,false,,
Satisfied,,,,false,100%,positive
Casper,false,50%,negative,false,55%,negative
Spider-Man 3,false,51%,negative,false,63%,positive
Dude Perfect: The Hero Tour,,,,false,,
Taylor Swift | The Official Release Party of a Showgirl,,,,false,,
Coyotes,,,,false,78%,positive
Breed of Greed,,,,false,,
The Librarians,,,,false,95%,positive
Scared Shitless,,,,false,90%,positive
Brides,,,,false,85%,positive
Killing Faith,,,,false,,
Third Act,,,,false,100%,positive
Shell,,,,false,47%,negative
BFFs,,,,false,,
Perfect Blue,false,89%,positive,true,84%,positive
She Loved Blossoms More,,,,false,86%,positive
Are We Good?,,,,false,90%,positive
Orwell: 2 + 2 = 5,,,,false,83%,positive
The Girl Who Leapt Through Time,false,90%,positive,false,86%,positive
Strange Journey: The Story of Rocky Horror,,,,false,100%,positive
The Ugly,,,,false,61%,positive
Cognitive,,,,false,,
Scurry,,,,false,,
I Really Love My Husband,,,,false,87%,positive
The Partisan,,,,false,,
National Theatre Live: Inter Alia,,,,false,,
Minamahal,,,,false,,
Wildfire: The Legend of the Cherokee Ghost Horse,,,,false,,
Roads of Fire,,,,false,,
DORA: Magic Mermaid Adventures,,,,false,,
Ju Dou,false,88%,positive,false,100%,positive
All God's Children,,,,false,,
One Big Happy Family,,,,false,,
Karam,,,,false,,
The Road Between Us: The Ultimate Rescue,,,,false,,
Kygo: Back at the Bowl,,,,false,,
The Ice Tower,,,,false,82%,positive
Cracking the Code: Phil Sharp and the Biotech Revolution,,,,false,,
Soul of a Nation,,,,false,,
The French Italian,,,,false,50%,negative
Latin Clowns Evolution,,,,false,,
Ai Weiwei's Turandot,,,,false,,
Trains,,,,false,,
The Alabama Solution,,,,false,,
Chalo Bulaava Aaya Hai,,,,false,,
UFC 320: Ankalaev vs. Pereira 2,,,,false,,
The Art Whisperer,,,,false,,
In Waves and War,,,,false,,
Trade Secret,,,,false,,
Viva Verdi!,,,,false,,
Norita,,,,false,,
Peas and Carrots,,,,false,,
A Writer's Odyssey 2,,,,false,,
